		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101101000   26   24   30   23   29   31   26   26  4.488409 0.810592 SUCCESS  90
101101100   20   25   33   17   16   18   23   26 11.202870 0.190467 SUCCESS  91
101110000   24   28   12   25   17   24   25   25  9.440680 0.306494 SUCCESS  92
101110100   21   21   29   37   23   21   20   20 10.814950 0.212406 SUCCESS  93
101111000   20   17   23   21   33   25   32   17 11.627861 0.168596 SUCCESS  94
101111100   20   24   25   31   30   20   21   25  5.341701 0.720508 SUCCESS  95
110000000   29   22   25   32   20   24   25   22  4.689651 0.790173 SUCCESS  96
110000010   23   27   17   25   27   24   22   27  3.527877 0.897015 SUCCESS  97
110000100   28   20   23   27   23   20   29   21  4.027671 0.854618 SUCCESS  98
110001000   27   30   24   19   32   46   21   23 25.647269 0.001207 FAILURE  99
110001010   27   15   16   21   21   17   16   32 15.751333 0.046081 SUCCESS 100
110010000   25   21   22   25   23   19   24   26  2.196635 0.974382 SUCCESS 101
110010010   29   26   29   28   30   24   25   32  6.251923 0.619036 SUCCESS 102
110010100   25   25   35   19   31   17   18   21 12.416279 0.133574 SUCCESS 103
110011000   16   21   20   21   20   28   19   30  8.719784 0.366483 SUCCESS 104
110011010   23   20   27   22   18   25   12   19 10.930135 0.205689 SUCCESS 105
110100000   26   26   26   17   27   15   22   12 13.430432 0.097873 SUCCESS 106
110100010   19   20   27   21   20   27   20   24  4.763131 0.782567 SUCCESS 107
110100100   31   22   27   19   28   19   30   24  6.731859 0.565820 SUCCESS 108
110101000   33   18   19   30   22   24   26   20  8.611881 0.376087 SUCCESS 109
110101010   23   25   32   19   13   24   27   22  9.822642 0.277695 SUCCESS 110
110101100   26   26   19   24   19   15   22   25  6.694788 0.569892 SUCCESS 111
110110000   28   17   31   21   19   24   29   32  9.790867 0.280012 SUCCESS 112
110110010   22   24   32   21   23   21   27   29  4.943851 0.763560 SUCCESS 113
110110100   29   24   25   30   23   27   28   26  3.276324 0.915839 SUCCESS 114
110111000   22   24   21   26   16   31   26   22  6.035456 0.643260 SUCCESS 115
110111010   18   23   30   34   21   33   21   27 11.452437 0.177357 SUCCESS 116
110111100   19   21   29   16   31   17   33   23 12.992202 0.112118 SUCCESS 117
111000000   28   21   22   26   21   19   23   23  3.280958 0.915509 SUCCESS 118
111000010   27   28   19   25   24   17   28   14  9.542625 0.298605 SUCCESS 119
111000100   29   30   25   22   33   36   27   22 11.852934 0.157887 SUCCESS 120
111000110   18   26   26   38   18   30   30   19 15.417696 0.051515 SUCCESS 121
111001000   30   24   26   21   19   15   23   29  7.890985 0.444191 SUCCESS 122
111001010   24   31   25   25   35   19   24   24  7.893633 0.443929 SUCCESS 123
