		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111  275  230  210  254  267  237  289  255 21.695461 0.005512 FAILURE  32
001001011  224  281  247  249  227  242  251  223 10.965033 0.203688 SUCCESS  33
001001101  249  257  226  251  263  252  234  240  4.673577 0.791827 SUCCESS  34
001001111  231  227  256  244  237  262  225  243  5.693556 0.681514 SUCCESS  35
001010011  258  240  229  277  256  235  240  241  7.499437 0.483826 SUCCESS  36
001010101  218  249  259  241  247  259  253  229  6.246441 0.619648 SUCCESS  37
001010111  224  244  224  245  223  238  262  252  7.101190 0.525756 SUCCESS  38
001011011  279  271  237  222  227  240  246  217 14.948563 0.060153 SUCCESS  39
001011101  224  247  235  241  246  247  230  239  3.151553 0.924490 SUCCESS  40
001011111  233  285  228  234  248  229  243  284 16.913319 0.031024 SUCCESS  41
001100101  242  260  241  263  235  266  233  239  5.653307 0.686002 SUCCESS  42
001100111  248  287  250  246  249  225  267  258 12.695713 0.122757 SUCCESS  43
001101011  252  233  229  228  257  224  237  251  5.691438 0.681750 SUCCESS  44
001101101  274  234  295  256  252  228  238  268 19.716936 0.011462 SUCCESS  45
001101111  266  244  226  226  233  248  267  227  8.858349 0.354386 SUCCESS  46
001110101  250  249  235  235  262  268  254  228  6.235850 0.620832 SUCCESS  47
001110111  241  269  246  254  249  226  221  247  6.884060 0.549192 SUCCESS  48
001111011  243  232  257  221  246  257  240  233  4.909772 0.767175 SUCCESS  49
001111101  233  222  261  261  246  248  239  259  6.138406 0.631732 SUCCESS  50
001111111  233  244  293  262  251  237  262  218 16.659119 0.033861 SUCCESS  51
010000011  256  236  246  216  227  307  225  244 23.784140 0.002491 FAILURE  52
010000111  232  240  235  245  228  242  246  243  2.191948 0.974554 SUCCESS  53
010001011  235  250  205  221  264  228  262  276 17.683334 0.023730 SUCCESS  54
010001111  265  224  252  250  256  239  280  262 11.486144 0.175645 SUCCESS  55
010010011  269  236  223  254  244  244  221  239  7.582052 0.475323 SUCCESS  56
010010111  195  265  241  262  243  238  227  233 15.396591 0.051878 SUCCESS  57
010011011  259  252  244  235  226  246  225  236  4.789027 0.779869 SUCCESS  58
010011111  245  233  271  264  226  271  237  244  9.928108 0.270108 SUCCESS  59
010100011  250  261  239  267  263  272  257  242  9.203638 0.325410 SUCCESS  60
010100111  239  246  216  257  249  208  260  270 13.713573 0.089543 SUCCESS  61
010101011  200  248  264  248  238  268  230  249 13.569527 0.093699 SUCCESS  62
010101111  199  228  225  244  223  243  263  250 14.829936 0.062538 SUCCESS  63
010110011  225  225  238  220  251  247  252  253  6.555718 0.585234 SUCCESS  64
010110111  270  248  243  236  250  235  240  208  9.285193 0.318812 SUCCESS  65
010111011  216  246  259  220  244  233  247  245  7.332088 0.501263 SUCCESS  66
010111111  223  248  234  225  218  226  236  270 11.337860 0.183280 SUCCESS  67
011000111  245  245  248  238  227  217  243  241  4.635447 0.795734 SUCCESS  68
011001111  236  252  233  232  262  236  252  266  5.613059 0.690484 SUCCESS  69
011010111  235  228  250  241  225  219  234  228  7.401993 0.493945 SUCCESS  70
011011111  270  244  261  243  233  231  249  240  5.475367 0.705768 SUCCESS  71
011101111  261  234  235  234  250  224  234  255  5.225404 0.733235 SUCCESS  72
011111111  210  267  304  246  240  235  249  239 22.990823 0.003376 FAILURE  73
100000000  276  238  228  273  246  241  241  270 12.031615 0.149799 SUCCESS  74
100010000  256  236  229  236  221  274  252  237  8.650752 0.372609 SUCCESS  75
100100000  257  244  263  239  248  250  236  267  5.029458 0.754423 SUCCESS  76
100101000  256  283  249  244  226  250  255  247  9.175040 0.327746 SUCCESS  77
100110000  221  232  241  247  212  256  225  229 10.453455 0.234630 SUCCESS  78
100111000  250  241  256  243  246  232  253  230  2.607141 0.956547 SUCCESS  79
101000000  241  228  254  265  234  228  230  244  5.783585 0.671459 SUCCESS  80
101000100  259  285  250  223  247  265  251  251 12.334537 0.136890 SUCCESS  81
101001000  244  255  229  282  269  252  253  251 10.966093 0.203628 SUCCESS  82
101001100  218  245  270  261  241  248  217  254 10.573141 0.227078 SUCCESS  83
101010000  230  239  239  240  233  257  228  246  3.483073 0.900499 SUCCESS  84
101010100  252  232  241  250  233  261  257  237  3.721386 0.881346 SUCCESS  85
101011000  246  231  260  216  227  234  276  274 14.926320 0.060594 SUCCESS  86
101011100  225  256  233  262  231  261  276  234 10.700241 0.219269 SUCCESS  87
101100000  265  244  248  229  250  245  246  245  3.046696 0.931393 SUCCESS  88
101100100  225  243  248  262  237  239  264  248  5.035813 0.753742 SUCCESS  89
101101000  236  236  274  236  252  263  237  243  6.612913 0.578912 SUCCESS  90
101101100  269  255  258  225  250  237  233  249  6.474162 0.594275 SUCCESS  91
101110000  226  254  238  256  268  275  238  245  9.177158 0.327572 SUCCESS  92
101110100  255  253  253  279  266  225  225  225 12.997576 0.111933 SUCCESS  93
101111000  242  205  216  259  240  252  267  235 13.697686 0.089993 SUCCESS  94
101111100  257  225  225  241  244  224  246  256  6.171240 0.628057 SUCCESS  95
110000000  263  253  240  252  267  243  236  240  4.751956 0.783729 SUCCESS  96
110000010  221  215  260  234  229  261  211  247 14.220915 0.076186 SUCCESS  97
110000100  224  231  268  243  240  227  249  232  6.904185 0.547005 SUCCESS  98
110001000  265  233  209  227  236  241  270  230 12.842938 0.117369 SUCCESS  99
110001010  227  239  212  243  249  255  257  235  7.388224 0.495383 SUCCESS 100
110010000  233  223  265  232  243  269  240  239  7.694324 0.463885 SUCCESS 101
110010010  238  254  213  240  263  216  240  236  9.960942 0.267778 SUCCESS 102
110010100  273  269  261  254  221  244  258  252 11.117554 0.195127 SUCCESS 103
110011000  256  238  264  227  227  226  245  245  6.313169 0.612197 SUCCESS 104
110011010  238  242  241  227  245  236  254  237  2.373065 0.967387 SUCCESS 105
110100000  255  247  237  249  230  245  225  244  3.250056 0.917699 SUCCESS 106
110100010  231  260  266  237  236  255  260  276 10.192900 0.251747 SUCCESS 107
110100100  251  256  223  268  226  246  256  258  7.923104 0.441017 SUCCESS 108
110101000  239  265  235  241  270  264  231  250  7.737749 0.459498 SUCCESS 109
110101010  234  231  246  257  224  270  234  257  7.570401 0.476517 SUCCESS 110
110101100  237  213  256  230  233  242  271  271 12.425626 0.133200 SUCCESS 111
110110000  250  268  254  234  252  228  256  206 11.528511 0.173512 SUCCESS 112
110110010  228  258  244  238  203  230  246  215 13.695568 0.090054 SUCCESS 113
110110100  232  226  263  249  265  254  233  254  6.821569 0.556001 SUCCESS 114
110111000  243  256  220  245  254  244  217  240  6.674345 0.572141 SUCCESS 115
110111010  256  265  267  271  253  237  235  251  8.822337 0.357504 SUCCESS 116
110111100  244  229  211  241  243  240  245  232  6.362950 0.606646 SUCCESS 117
111000000  263  231  233  245  292  258  254  239 13.817372 0.086652 SUCCESS 118
111000010  227  240  259  244  256  221  244  270  7.951701 0.438202 SUCCESS 119
111000100  236  248  202  246  245  250  219  213 14.804516 0.063060 SUCCESS 120
111000110  237  237  241  231  230  232  238  245  2.831685 0.944472 SUCCESS 121
111001000  236  238  235  222  226  229  242  240  5.317551 0.723159 SUCCESS 122
111001010  221  256  262  246  256  222  252  268  9.580701 0.295696 SUCCESS 123
111001100  254  226  249  231  225  226  250  240  5.795236 0.670156 SUCCESS 124
111010000  254  244  230  263  235  231  246  256  4.462803 0.813143 SUCCESS 125
111010010  211  256  225  271  263  235  236  255 12.498708 0.130301 SUCCESS 126
111010100  235  274  255  252  257  258  236  265  8.541658 0.382422 SUCCESS 127
111010110  249  224  259  221  242  248  261  230  7.154148 0.520096 SUCCESS 128
111011000  247  273  225  218  255  228  263  205 17.606015 0.024382 SUCCESS 129
111011010  224  222  244  253  223  263  218  240 10.487349 0.232471 SUCCESS 130
111011100  254  258  237  238  251  246  242  235  2.189829 0.974632 SUCCESS 131
111100000  280  229  233  244  276  247  254  252 11.961710 0.152920 SUCCESS 132
111100010  224  243  210  252  245  255  236  206 13.859739 0.085495 SUCCESS 133
111100100  237  272  222  247  250  255  236  266  8.570255 0.379834 SUCCESS 134
111100110  247  245  250  203  239  236  261  248  9.010869 0.341380 SUCCESS 135
111101000  251  231  239  255  228  233  262  274  8.303345 0.404413 SUCCESS 136
111101010  247  260  245  254  232  237  250  264  4.176828 0.840827 SUCCESS 137
111101100  244  267  240  219  236  245  261  215 10.046735 0.261761 SUCCESS 138
111101110  256  240  219  239  268  252  252  252  6.658458 0.573890 SUCCESS 139
111110000  251  223  253  228  269  229  221  266 11.409884 0.179538 SUCCESS 140
111110010  237  238  247  256  234  246  238  268  4.029603 0.854443 SUCCESS 141
111110100  230  216  253  282  235  248  238  253 11.516860 0.174097 SUCCESS 142
111110110  238  250  248  233  261  220  239  242  4.695820 0.789537 SUCCESS 143
111111000  231  231  250  222  245  249  218  227  7.917808 0.441540 SUCCESS 144
111111010  243  216  267  262  224  231  254  243  9.791476 0.279968 SUCCESS 145
111111100  234  262  267  246  250  239  238  231  5.166090 0.739686 SUCCESS 146
111111110  210  267  305  246  240  235  249  239 23.502401 0.002776 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  256  230  252  226  237  252  239  246  3.701261 0.883021 SUCCESS   0
000000011  237  249  248  237  250  237  235  239  1.419814 0.993961 SUCCESS   1
000000101  257  263  234  244  243  274  245  264  8.109517 0.422846 SUCCESS   2
000000111  239  242  232  230  254  237  226  253  3.952284 0.861403 SUCCESS   3
000001001  245  226  250  274  257  241  274  251 10.047794 0.261687 SUCCESS   4
000001011  269  252  263  253  229  246  271  268 11.186399 0.191360 SUCCESS   5
000001101  238  256  227  249  232  217  243  213  9.949292 0.268603 SUCCESS   6
000001111  269  225  236  235  239  231  215  278 14.100170 0.079192 SUCCESS   7
000010001  218  241  256  261  217  240  226  257 10.020256 0.263607 SUCCESS   8
000010011  247  254  253  288  268  222  274  244 17.207768 0.028017 SUCCESS   9
000010101  248  273  238  246  227  239  245  253  5.460539 0.707408 SUCCESS  10
000010111  266  248  279  269  241  244  253  242 10.259628 0.247274 SUCCESS  11
000011001  262  262  255  269  228  235  232  261  9.113608 0.332803 SUCCESS  12
000011011  222  270  218  266  245  224  247  226 12.975334 0.112701 SUCCESS  13
000011101  243  243  237  235  241  240  225  244  2.241728 0.972690 SUCCESS  14
000011111  274  252  243  223  239  230  230  247  7.776939 0.455557 SUCCESS  15
000100011  257  242  241  252  236  239  236  229  2.665395 0.953572 SUCCESS  16
000100101  259  211  241  242  246  222  259  251  8.873177 0.353107 SUCCESS  17
000100111  249  230  228  249  269  232  248  256  6.053673 0.641220 SUCCESS  18
000101001  221  269  270  246  237  265  257  258 11.317736 0.184338 SUCCESS  19
000101011  241  254  252  252  217  247  252  267  6.611854 0.579029 SUCCESS  20
000101101  227  240  247  238  229  251  246  271  5.752869 0.674892 SUCCESS  21
000101111  230  232  285  267  264  249  225  234 14.521718 0.069140 SUCCESS  22
000110011  273  250  243  273  242  250  236  266  9.688736 0.287556 SUCCESS  23
000110101  245  248  224  238  243  213  260  199 15.746116 0.046162 SUCCESS  24
000110111  251  234  238  272  262  236  244  250  5.865141 0.662335 SUCCESS  25
000111001  238  259  236  264  246  241  233  206  9.788298 0.280200 SUCCESS  26
000111011  247  222  233  225  248  244  252  244  4.509406 0.808491 SUCCESS  27
000111101  253  215  250  233  247  224  211  260 12.065509 0.148305 SUCCESS  28
000111111  264  272  240  205  225  230  250  255 14.565144 0.068173 SUCCESS  29
001000011  226  268  260  253  246  236  242  218  8.413498 0.394155 SUCCESS  30
001000101  222  243  236  262  244  272  233  279 12.681944 0.123272 SUCCESS  31
001000111  257  224  231  233  237  231  236  220  7.362804 0.498042 SUCCESS  32
001001011  267  222  208  256  244  243  256  246 11.034938 0.199727 SUCCESS  33
001001101  221  282  261  231  261  242  262  228 13.960360 0.082804 SUCCESS  34
001001111  250  240  251  261  263  242  245  229  4.125988 0.845581 SUCCESS  35
001010011  233  244  256  238  253  243  265  268  5.881029 0.660557 SUCCESS  36
001010101  226  235  248  236  236  240  237  244  2.654804 0.954121 SUCCESS  37
001010111  255  245  251  255  259  249  280  289 16.228038 0.039230 SUCCESS  38
001011011  240  232  260  214  245  243  258  260  7.499437 0.483826 SUCCESS  39
001011101  253  238  244  249  277  243  251  246  5.392752 0.714891 SUCCESS  40
001011111  247  254  257  233  263  279  265  251 10.383550 0.239131 SUCCESS  41
001100101  245  224  275  234  238  253  250  220  9.296844 0.317877 SUCCESS  42
001100111  252  281  247  267  246  247  237  229  9.509737 0.301134 SUCCESS  43
001101011  248  236  229  225  248  237  255  226  5.033694 0.753969 SUCCESS  44
001101101  238  233  236  244  235  242  226  266  4.754074 0.783509 SUCCESS  45
001101111  234  240  252  265  225  269  259  240  7.796004 0.453647 SUCCESS  46
001110101  238  289  223  242  246  252  221  247 13.178694 0.105847 SUCCESS  47
001110111  250  222  221  229  236  246  258  252  6.827924 0.555307 SUCCESS  48
001111011  203  233  262  251  250  239  229  251 10.670585 0.221072 SUCCESS  49
001111101  260  212  241  200  246  235  243  247 14.138300 0.078231 SUCCESS  50
001111111  249  262  228  231  277  226  228  250 10.504295 0.231398 SUCCESS  51
010000011  272  248  215  254  229  217  217  216 17.917410 0.021854 SUCCESS  52
010000111  230  253  228  248  256  228  230  229  5.857727 0.663165 SUCCESS  53
010001011  216  246  252  255  263  264  240  240  7.457070 0.488214 SUCCESS  54
010001111  230  227  248  220  244  227  240  236  6.211489 0.623555 SUCCESS  55
010010011  240  271  246  224  231  278  233  231 11.708569 0.164688 SUCCESS  56
010010111  242  242  223  250  247  239  234  244  2.655863 0.954066 SUCCESS  57
010011011  241  253  251  243  227  263  263  263  6.351299 0.607945 SUCCESS  58
010011111  254  233  234  231  274  236  239  243  6.279276 0.615980 SUCCESS  59
010100011  240  237  244  235  270  243  250  240  3.700202 0.883109 SUCCESS  60
010100111  247  243  237  243  261  229  220  257  5.604586 0.691427 SUCCESS  61
010101011  244  232  228  217  248  255  248  248  5.533622 0.699312 SUCCESS  62
010101111  230  251  244  213  243  239  278  265 11.974420 0.152349 SUCCESS  63
010110011  247  229  233  256  240  267  245  217  7.535448 0.480110 SUCCESS  64
010110111  217  226  251  242  241  244  251  247  5.005097 0.757031 SUCCESS  65
010111011  247  228  249  236  261  223  219  246  7.303491 0.504270 SUCCESS  66
010111111  223  269  245  239  247  278  264  256 11.794362 0.160617 SUCCESS  67
011000111  242  264  223  247  237  251  263  273  9.075478 0.335969 SUCCESS  68
011001111  240  251  244  255  242  252  237  247  1.305424 0.995487 SUCCESS  69
011010111  223  252  228  217  234  246  246  243  6.841694 0.553805 SUCCESS  70
011011111  245  224  250  214  257  230  253  225  9.141147 0.330529 SUCCESS  71
011101111  235  233  223  212  222  250  241  244  9.401702 0.309550 SUCCESS  72
011111111  248  258  256  241  273  256  236  223  7.818246 0.451423 SUCCESS  73
100000000  256  230  252  226  237  252  239  246  3.701261 0.883021 SUCCESS  74
100010000  246  262  241  248  241  228  223  210  9.440891 0.306478 SUCCESS  75
100100000  271  252  236  234  247  237  242  258  5.121605 0.744503 SUCCESS  76
100101000  253  241  261  251  235  255  216  234  6.421204 0.600160 SUCCESS  77
100110000  250  273  258  260  215  267  251  255 12.073982 0.147933 SUCCESS  78
100111000  241  233  245  256  252  243  258  237  2.465213 0.963333 SUCCESS  79
101000000  234  258  255  246  207  253  226  250  9.476903 0.303674 SUCCESS  80
101000100  265  255  250  247  286  231  223  215 16.171902 0.039985 SUCCESS  81
101001000  259  248  261  253  224  250  265  233  6.773907 0.561211 SUCCESS  82
101001100  245  255  243  242  227  259  257  249  3.511670 0.898282 SUCCESS  83
101010000  242  260  240  244  238  222  258  243  4.212839 0.837428 SUCCESS  84
101010100  238  251  245  257  260  264  265  239  5.763461 0.673708 SUCCESS  85
101011000  233  261  245  268  240  224  240  231  6.738954 0.565042 SUCCESS  86
101011100  223  263  238  235  235  261  259  277 10.987276 0.202421 SUCCESS  87
101100000  224  223  238  276  263  231  252  236 10.851702 0.210244 SUCCESS  88
101100100  262  258  273  238  260  258  228  271 11.905574 0.155467 SUCCESS  89
101101000  247  233  223  245  258  240  235  238  3.852722 0.870161 SUCCESS  90
101101100  247  231  250  217  255  265  250  285 13.600243 0.092799 SUCCESS  91
101110000  250  237  241  234  252  250  248  257  2.011889 0.980645 SUCCESS  92
101110100  254  243  255  232  239  237  270  257  5.407581 0.713256 SUCCESS  93
101111000  243  240  248  228  235  246  244  239  1.721677 0.988388 SUCCESS  94
101111100  239  255  263  222  236  232  249  237  5.413936 0.712555 SUCCESS  95
110000000  251  227  254  236  249  230  256  240  3.751042 0.878858 SUCCESS  96
110000010  212  237  250  302  251  245  271  249 22.288595 0.004408 FAILURE  97
110000100  237  248  238  241  241  224  262  252  3.852722 0.870161 SUCCESS  98
110001000  249  257  235  234  228  238  218  223  7.632892 0.470126 SUCCESS  99
110001010  235  234  282  275  217  236  239  256 15.008936 0.058972 SUCCESS 100
110010000  257  277  254  240  244  253  230  259  7.882855 0.444996 SUCCESS 101
110010010  262  227  240  249  239  247  241  264  4.630151 0.796275 SUCCESS 102
110010100  249  234  272  232  248  255  232  218  8.528948 0.383576 SUCCESS 103
110011000  252  242  254  276  216  266  235  260 11.798598 0.160419 SUCCESS 104
110011010  240  257  229  260  246  239  263  265  6.293045 0.614443 SUCCESS 105
110100000  241  250  252  263  223  249  227  252  5.456302 0.707876 SUCCESS 106
110100010  247  244  256  219  285  236  239  205 17.261785 0.027496 SUCCESS 107
110100100  270  255  226  241  256  266  263  239  9.016165 0.340934 SUCCESS 108
110101000  239  256  238  245  245  213  233  264  7.176391 0.517727 SUCCESS 109
110101010  256  248  225  238  272  279  276  243 15.124385 0.056772 SUCCESS 110
110101100  245  244  231  247  256  213  242  217  8.606267 0.376591 SUCCESS 111
110110000  219  228  254  263  265  234  255  251  8.680409 0.369969 SUCCESS 112
110110010  278  248  255  246  258  249  230  274 10.984098 0.202602 SUCCESS 113
110110100  278  220  222  250  262  239  233  257 12.239212 0.140846 SUCCESS 114
110111000  249  230  231  232  247  225  255  265  6.230554 0.621424 SUCCESS 115
110111010  226  251  262  234  243  233  259  242  4.866346 0.771761 SUCCESS 116
110111100  242  241  252  242  232  238  238  237  1.498193 0.992738 SUCCESS 117
111000000  252  247  230  232  267  234  229  268  7.801300 0.453117 SUCCESS 118
111000010  211  260  238  213  251  234  263  242 12.142828 0.144944 SUCCESS 119
111000100  242  253  234  209  248  243  225  226  9.024638 0.340222 SUCCESS 120
111000110  252  228  226  259  262  236  288  238 13.641550 0.091600 SUCCESS 121
111001000  203  243  229  253  238  229  236  255 10.382491 0.239199 SUCCESS 122
111001010  242  236  242  230  227  269  253  225  6.910540 0.546315 SUCCESS 123
111001100  256  250  243  271  223  264  228  215 12.068686 0.148165 SUCCESS 124
111010000  249  253  250  274  222  204  221  247 15.557584 0.049168 SUCCESS 125
111010010  252  252  242  249  263  259  253  248  3.489428 0.900009 SUCCESS 126
111010100  236  250  245  228  223  218  227  239  7.666785 0.466677 SUCCESS 127
111010110  243  262  233  250  253  246  234  241  2.853927 0.943187 SUCCESS 128
111011000  225  232  247  255  256  248  250  266  5.543154 0.698254 SUCCESS 129
111011010  249  226  215  262  253  255  229  261  9.450424 0.305734 SUCCESS 130
111011100  252  223  227  209  244  238  242  230  9.646370 0.290728 SUCCESS 131
111100000  256  236  241  232  264  238  246  277  7.967589 0.436643 SUCCESS 132
111100010  243  297  238  228  253  229  213  225 20.067520 0.010084 SUCCESS 133
111100100  232  236  236  263  229  226  257  251  5.955170 0.652254 SUCCESS 134
111100110  240  243  227  267  236  257  236  224  6.514411 0.589810 SUCCESS 135
111101000  252  213  245  259  229  226  236  239  8.059736 0.427657 SUCCESS 136
111101010  243  245  252  248  252  261  221  239  4.181064 0.840429 SUCCESS 137
111101100  249  234  246  242  243  258  250  266  3.563570 0.894200 SUCCESS 138
111101110  247  240  231  213  223  229  254  228  9.315909 0.316351 SUCCESS 139
111110000  241  236  248  216  267  230  256  270 10.232089 0.249113 SUCCESS 140
111110010  229  239  262  245  237  242  257  230  4.219194 0.836825 SUCCESS 141
111110100  238  224  236  218  230  232  236  240  6.866054 0.551151 SUCCESS 142
111110110  253  235  239  228  272  244  248  267  7.471898 0.486676 SUCCESS 143
111111000  257  244  251  225  271  234  250  243  6.098158 0.636238 SUCCESS 144
111111010  231  248  227  208  229  237  235  246  9.116786 0.332540 SUCCESS 145
111111100  243  252  260  258  273  253  263  252  7.789649 0.454283 SUCCESS 146
111111110  247  258  256  241  273  256  236  223  7.789649 0.454283 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  240  227  246  230  255  284  246  264 11.100607 0.196064 SUCCESS   0
000000011  229  277  243  240  282  250  228  235 13.303676 0.101819 SUCCESS   1
000000101  245  238  258  197  258  257  260  268 15.387058 0.052042 SUCCESS   2
000000111  231  241  234  249  248  258  232  231  3.538150 0.896209 SUCCESS   3
000001001  253  256  245  219  224  235  214  255 10.023433 0.263385 SUCCESS   4
000001011  231  244  250  221  268  231  264  267 10.177013 0.252821 SUCCESS   5
000001101  253  246  244  228  238  246  268  230  4.884352 0.769862 SUCCESS   6
000001111  214  261  255  265  246  244  230  224  9.974712 0.266805 SUCCESS   7
000010001  242  230  253  241  253  277  237  251  6.567369 0.583945 SUCCESS   8
000010011  236  255  226  221  231  233  221  247  7.993009 0.434153 SUCCESS   9
000010101  238  223  256  228  246  256  202  240 11.951118 0.153398 SUCCESS  10
000010111  275  247  250  226  244  229  271  231 10.370840 0.239956 SUCCESS  11
000011001  237  246  250  274  255  226  249  232  6.773907 0.561211 SUCCESS  12
000011011  242  224  234  247  223  247  273  244  7.662549 0.467108 SUCCESS  13
000011101  245  251  250  226  225  241  236  246  3.627120 0.889103 SUCCESS  14
000011111  235  227  252  269  251  245  273  251  8.415617 0.393959 SUCCESS  15
000100011  215  238  259  215  263  261  241  256 11.638664 0.168068 SUCCESS  16
000100101  240  232  239  233  258  237  245  257  3.066820 0.930094 SUCCESS  17
000100111  264  237  258  232  242  222  235  257  6.475222 0.594157 SUCCESS  18
000101001  276  239  228  226  245  263  248  232  9.108312 0.333241 SUCCESS  19
000101011  222  244  233  249  259  231  226  247  5.793118 0.670393 SUCCESS  20
000101101  245  244  275  254  261  246  220  242  8.161417 0.417864 SUCCESS  21
000101111  278  231  254  251  267  247  243  237  8.677231 0.370252 SUCCESS  22
000110011  243  267  246  264  275  233  267  254 11.103784 0.195888 SUCCESS  23
000110101  255  276  260  238  239  238  235  233  7.179568 0.517389 SUCCESS  24
000110111  240  241  231  253  231  254  260  252  3.650421 0.887207 SUCCESS  25
000111001  245  248  253  283  246  274  269  227 14.463464 0.070457 SUCCESS  26
000111011  233  274  257  236  224  242  229  215 11.585706 0.170668 SUCCESS  27
000111101  223  246  245  244  231  205  253  248  9.521388 0.300236 SUCCESS  28
000111111  240  237  263  261  260  251  272  249  7.663608 0.467000 SUCCESS  29
001000011  238  256  209  281  227  245  233  236 13.794070 0.087293 SUCCESS  30
001000101  264  238  235  264  245  276  223  226 11.449073 0.177529 SUCCESS  31
001000111  219  245  259  239  253  257  233  249  5.387456 0.715474 SUCCESS  32
001001011  237  229  251  248  258  260  271  257  7.093776 0.526550 SUCCESS  33
001001101  223  242  236  238  237  243  249  242  2.688697 0.952351 SUCCESS  34
001001111  284  252  255  232  240  228  265  245 11.146151 0.193555 SUCCESS  35
001010011  243  253  232  233  251  259  231  220  5.819597 0.667432 SUCCESS  36
001010101  244  279  257  243  254  266  242  235  8.672995 0.370628 SUCCESS  37
001010111  238  233  237  254  259  234  234  254  3.530735 0.896791 SUCCESS  38
001011011  249  238  265  246  270  248  260  244  6.088625 0.637305 SUCCESS  39
001011101  249  243  258  258  214  256  247  245  6.217844 0.622845 SUCCESS  40
001011111  240  241  266  255  256  219  233  228  7.539685 0.479674 SUCCESS  41
